Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2013-12-31;727358;5466270,00;0;0,00;0;181797,40;0;121198,20;9;3599,90;53;204,20;137;110,10;320;38,40;5340;12,10;3946;13,10;7660;12,10;27816;6,70;60922;7,30;117901;4,10
2013-12-27;726589;5412940,00;0;0,00;0;159061,40;1;20829,40;10;3351,80;139;135,10;325;59,20;242;55,80;3251;19,70;5373;11,30;11366;8,50;15539;11,40;67707;7,10;141484;3,30
2013-12-24;579832;4112418,00;0;0,00;0;310481,90;1;64683,70;7;5624,60;86;224,50;196;101,40;191;59,20;2902;17,90;3097;15,60;6152;12,70;15589;9,00;45051;8,30;89496;4,20
2013-12-20;764526;5498548,00;0;0,00;0;297853,40;1;42550,40;2;4882,80;89;194,30;189;87,80;181;68,30;2766;21,50;4695;12,70;10685;9,80;14137;12,10;66099;7,30;151690;3,40
2013-12-17;438891;2952820,00;0;0,00;0;232157,90;0;128976,60;1;6045,70;31;243,20;88;112,30;71;86,10;1267;25,40;1874;16,50;4227;12,90;6654;13,50;30439;8,50;67172;4,10
2013-12-13;908036;6372580,00;0;0,00;0;486045,00;1;43204,00;3;6480,60;88;248,70;240;101,80;181;79,90;2746;25,50;4182;16,70;10241;11,80;15921;12,50;63074;8,90;150899;3,80
2013-12-10;407058;2614626,00;0;0,00;1;511544,50;0;85257,40;4;5500,40;34;248,20;73;94,60;78;69,70;1199;21,60;1445;16,70;2947;14,30;7449;10,70;24028;8,80;49640;4,50
2013-12-06;700374;4854836,00;0;0,00;1;741485,40;0;98864,70;1;6680,00;48;329,10;112;134,90;126;90,80;1764;27,90;2939;18,20;6368;14,10;9707;14,30;45332;9,20;100773;4,30
2013-12-03;393288;2492908,00;0;0,00;0;475347,30;0;105632,70;3;2437,60;38;161,50;113;83,10;125;43,70;1792;15,50;2105;11,90;3990;10,60;9284;8,80;30352;7,00;54323;3,90
2013-11-29;676129;4661532,00;0;15000000,00;0;297135,90;1;82537,70;3;3019,60;109;142,00;231;84,00;292;38,00;3992;12,80;4962;10,70;8777;10,50;18842;7,50;63327;6,60;114479;3,80
2013-11-26;411754;2676114,00;0;32148861,00;0;512038,90;0;42669,90;4;2666,80;73;163,70;114;94,60;223;34,00;2811;11,10;3037;11,60;4577;11,80;13157;6,60;37727;6,70;60417;4,10
2013-11-22;702071;4896280,00;0;0,00;0;119096,20;1;43006,90;3;4300,60;89;196,80;152;110,30;154;69,10;2266;21,60;3945;13,70;6947;12,50;12681;11,70;54642;7,50;100909;4,10
2013-11-19;409432;2644612,00;0;0,00;0;245427,60;0;46748,10;0;8611,40;23;307,80;52;120,50;62;100,50;1020;28,90;1454;19,00;3304;12,60;5421;15,10;22306;9,80;56076;3,90
2013-11-15;1261644;10830602,00;0;100000000,00;2;328771,00;5;41096,30;18;3913,90;212;175,10;558;77,10;496;60,70;5895;20,20;9422;12,80;20703;10,00;31772;11,00;125023;7,60;267650;3,60
2013-11-12;361324;2295960,00;0;0,00;0;192021,60;0;53339,30;1;6667,40;38;233,30;99;107,40;66;86,20;1018;27,20;1577;18,30;3482;13,80;5077;13,90;22229;9,80;47065;4,50
2013-11-08;696889;4812786,00;0;7500000,00;0;291709,50;0;162060,80;5;5929,00;63;264,20;149;122,80;137;86,00;2091;27,40;3300;17,60;7265;13,60;10615;14,60;46450;9,50;103040;4,40
