Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2024-06-28 00:00:00.0000000;10;16;18;22;35;1;10
2024-06-25 00:00:00.0000000;14;16;37;45;49;5;7
2024-06-21 00:00:00.0000000;3;4;7;11;17;3;12
2024-06-18 00:00:00.0000000;3;11;33;34;36;1;12
2024-06-14 00:00:00.0000000;2;13;16;24;32;1;7
2024-06-11 00:00:00.0000000;7;15;34;45;48;7;9
2024-06-07 00:00:00.0000000;15;16;26;30;37;5;8
2024-06-04 00:00:00.0000000;6;7;9;14;43;3;4
2024-05-31 00:00:00.0000000;4;7;16;33;34;7;8
2024-05-28 00:00:00.0000000;16;18;35;36;41;6;7
2024-05-24 00:00:00.0000000;9;12;18;22;50;1;3
2024-05-21 00:00:00.0000000;11;13;14;34;48;7;9
2024-05-17 00:00:00.0000000;18;31;32;41;46;1;10
2024-05-14 00:00:00.0000000;2;8;17;28;35;7;9
2024-05-10 00:00:00.0000000;13;28;29;44;48;4;12
2024-05-07 00:00:00.0000000;35;36;41;42;45;6;11
2024-05-03 00:00:00.0000000;6;9;10;30;49;3;4
2024-04-30 00:00:00.0000000;13;22;24;33;47;1;5
2024-04-26 00:00:00.0000000;2;20;39;40;47;4;8
2024-04-23 00:00:00.0000000;6;9;11;32;49;2;10
2024-04-19 00:00:00.0000000;10;20;40;44;46;1;3
2024-04-16 00:00:00.0000000;22;29;31;39;46;3;7
2024-04-12 00:00:00.0000000;2;3;12;16;45;2;11
2024-04-09 00:00:00.0000000;19;23;26;27;46;2;10
2024-04-05 00:00:00.0000000;13;18;26;35;37;8;11
2024-04-02 00:00:00.0000000;1;23;31;36;48;5;8
2024-03-29 00:00:00.0000000;16;17;35;36;49;1;10
2024-03-26 00:00:00.0000000;2;13;14;26;29;5;6
2024-03-22 00:00:00.0000000;8;11;23;32;44;9;10
2024-03-19 00:00:00.0000000;7;16;18;20;32;1;3
2024-03-15 00:00:00.0000000;1;4;31;34;40;4;5
2024-03-12 00:00:00.0000000;13;19;30;38;46;4;12
2024-03-08 00:00:00.0000000;8;11;12;16;44;4;7
2024-03-05 00:00:00.0000000;2;15;17;23;36;3;8
2024-03-01 00:00:00.0000000;4;7;19;20;34;2;4
2024-02-27 00:00:00.0000000;3;4;9;12;20;5;6
2024-02-23 00:00:00.0000000;24;27;28;30;49;1;12
2024-02-20 00:00:00.0000000;23;31;37;42;48;3;7
2024-02-16 00:00:00.0000000;8;13;14;24;26;1;2
2024-02-13 00:00:00.0000000;13;17;18;20;46;4;9
2024-02-09 00:00:00.0000000;23;24;35;37;45;9;12
2024-02-06 00:00:00.0000000;2;7;21;28;45;5;11
2024-02-02 00:00:00.0000000;13;20;23;27;42;5;9
2024-01-30 00:00:00.0000000;5;10;19;27;30;5;6
2024-01-26 00:00:00.0000000;8;19;32;41;42;9;12
2024-01-23 00:00:00.0000000;14;23;39;48;50;3;12
2024-01-19 00:00:00.0000000;27;28;44;48;50;7;12
2024-01-16 00:00:00.0000000;10;18;21;33;45;8;12
2024-01-12 00:00:00.0000000;16;17;18;45;49;9;12
2024-01-09 00:00:00.0000000;2;9;12;39;40;1;3
2024-01-05 00:00:00.0000000;4;7;18;39;50;3;8
2024-01-02 00:00:00.0000000;7;15;18;46;49;10;12
