Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2024-06-30;4141;14596,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;20;20,00;165;5,00;1769;2,00;998;1,50
2024-06-29;182694;331882,50;0;0,00;0;20000,00;3;2.000,00;42;200,00;389;20,00;3939;5,00;39969;2,00;19092;1,50
2024-06-28;141096;269340,00;0;0,00;0;20000,00;2;2.000,00;29;200,00;301;20,00;3260;5,00;32176;2,00;15124;1,50
2024-06-27;23640;52150,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;55;20,00;658;5,00;6283;2,00;2725;1,50
2024-06-26;123422;231930,00;0;0,00;0;20000,00;0;2.000,00;24;200,00;278;20,00;2779;5,00;28131;2,00;12588;1,50
2024-06-25;188527;393832,50;0;0,00;0;20000,00;2;2.000,00;50;200,00;450;20,00;4704;5,00;47366;2,00;20757;1,50
2024-06-24;23372;50548,50;0;0,00;0;20000,00;0;2.000,00;7;200,00;53;20,00;637;5,00;6060;2,00;2813;1,50
2024-06-23;4147;14368,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;10;20,00;149;5,00;1756;2,00;784;1,50
2024-06-22;189239;343923,00;0;0,00;0;20000,00;6;2.000,00;36;200,00;429;20,00;4227;5,00;41354;2,00;17518;1,50
2024-06-21;220632;450436,50;0;0,00;0;20000,00;5;2.000,00;47;200,00;524;20,00;5396;5,00;54032;2,00;24511;1,50
2024-06-20;22835;49429,50;0;0,00;0;20000,00;2;2.000,00;4;200,00;63;20,00;650;5,00;5820;2,00;2714;1,50
2024-06-19;121805;228025,50;0;0,00;0;20000,00;3;2.000,00;25;200,00;251;20,00;2700;5,00;26869;2,00;11647;1,50
2024-06-18;156494;321369,00;0;0,00;0;20000,00;2;2.000,00;36;200,00;370;20,00;3841;5,00;38492;2,00;17700;1,50
2024-06-17;23046;49147,50;0;0,00;0;20000,00;2;2.000,00;6;200,00;66;20,00;575;5,00;5912;2,00;2597;1,50
2024-06-16;4031;13720,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;157;5,00;1649;2,00;743;1,50
2024-06-15;185194;335037,00;0;0,00;0;20000,00;4;2.000,00;35;200,00;421;20,00;3964;5,00;40439;2,00;19732;1,50
2024-06-14;202203;405366,00;0;0,00;1;20000,00;5;2.000,00;51;200,00;474;20,00;4897;5,00;49007;2,00;21601;1,50
2024-06-13;23624;50985,00;0;0,00;0;20000,00;1;2.000,00;7;200,00;54;20,00;572;5,00;6141;2,00;2844;1,50
2024-06-12;137676;261325,50;0;0,00;0;20000,00;1;2.000,00;38;200,00;328;20,00;3127;5,00;31653;2,00;15159;1,50
2024-06-11;155736;320163,00;0;0,00;0;20000,00;0;2.000,00;29;200,00;410;20,00;3823;5,00;38274;2,00;18195;1,50
2024-06-10;23436;49897,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;55;20,00;615;5,00;6028;2,00;2912;1,50
2024-06-09;4010;13486,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;16;20,00;156;5,00;1603;2,00;743;1,50
2024-06-08;198484;361897,50;0;0,00;0;20000,00;6;2.000,00;48;200,00;467;20,00;4353;5,00;43919;2,00;19699;1,50
2024-06-07;242588;489355,50;0;0,00;1;20000,00;5;2.000,00;58;200,00;599;20,00;5922;5,00;59122;2,00;27331;1,50
2024-06-06;23809;51046,50;0;0,00;0;20000,00;1;2.000,00;2;200,00;56;20,00;629;5,00;6041;2,00;2701;1,50
2024-06-05;130110;246163,50;0;0,00;0;20000,00;2;2.000,00;40;200,00;278;20,00;2968;5,00;29571;2,00;13165;1,50
2024-06-04;109114;215161,50;0;0,00;0;20000,00;1;2.000,00;30;200,00;258;20,00;2610;5,00;25840;2,00;11615;1,50
2024-06-03;24541;52780,50;0;0,00;0;20000,00;0;2.000,00;8;200,00;63;20,00;599;5,00;6357;2,00;3087;1,50
2024-06-02;4348;14905,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;17;20,00;193;5,00;1793;2,00;812;1,50
2024-06-01;188988;342784,50;0;0,00;0;20000,00;8;2.000,00;34;200,00;424;20,00;4198;5,00;41048;2,00;18631;1,50
2024-05-31;148680;285066,00;0;0,00;0;20000,00;2;2.000,00;49;200,00;350;20,00;3432;5,00;34112;2,00;15706;1,50
2024-05-30;24416;52753,50;0;0,00;0;20000,00;2;2.000,00;9;200,00;66;20,00;613;5,00;6427;2,00;2969;1,50
2024-05-29;124311;233851,50;0;0,00;0;20000,00;1;2.000,00;30;200,00;282;20,00;2910;5,00;28111;2,00;12462;1,50
2024-05-28;97804;189742,50;0;0,00;0;20000,00;6;2.000,00;24;200,00;235;20,00;2314;5,00;23005;2,00;10098;1,50
2024-05-27;23698;50817,00;0;0,00;0;20000,00;1;2.000,00;7;200,00;64;20,00;574;5,00;6178;2,00;2956;1,50
2024-05-26;4076;13654,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;11;20,00;181;5,00;1604;2,00;721;1,50
2024-05-25;181886;327697,50;0;0,00;0;20000,00;5;2.000,00;46;200,00;354;20,00;3894;5,00;39546;2,00;18945;1,50
2024-05-24;136195;257664,00;0;0,00;0;20000,00;3;2.000,00;31;200,00;287;20,00;3079;5,00;30663;2,00;13893;1,50
2024-05-23;24885;53967,00;0;0,00;0;20000,00;1;2.000,00;6;200,00;59;20,00;621;5,00;6328;2,00;3089;1,50
2024-05-22;125223;235794,00;0;0,00;0;20000,00;3;2.000,00;34;200,00;278;20,00;2895;5,00;28911;2,00;12469;1,50
2024-05-21;87747;170272,50;0;0,00;0;20000,00;3;2.000,00;21;200,00;191;20,00;2089;5,00;20515;2,00;9644;1,50
2024-05-20;20891;43515,00;0;0,00;0;20000,00;0;2.000,00;5;200,00;53;20,00;505;5,00;5265;2,00;2399;1,50
2024-05-19;3888;12568,50;0;0,00;0;20000,00;1;2.000,00;2;200,00;15;20,00;157;5,00;1459;2,00;750;1,50
2024-05-18;187243;337588,50;0;0,00;0;20000,00;2;2.000,00;54;200,00;387;20,00;4070;5,00;40541;2,00;17108;1,50
2024-05-17;130722;245784,00;0;0,00;0;20000,00;2;2.000,00;23;200,00;327;20,00;2925;5,00;29393;2,00;13012;1,50
