Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2001-12-29;2565661;16322315,13;3;1652631,76;23;24345,62;989;1132,13;49143;28,38;835826;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-26;772704;3864871,75;3;354810,00;7;18316,85;266;964,06;13406;23,80;215478;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-22;2364953;14991919,17;5;991574,10;20;26422,97;948;1114,78;44493;29,62;710564;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-19;673313;3177072,82;0;0,00;4;27074,93;256;846,06;11490;23,55;165455;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-15;1497564;7864182,11;2;611578,11;12;22650,03;618;879,53;26997;25,16;394516;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-12;755767;3711112,32;2;494126,16;10;11953,43;311;768,72;15309;19,46;221330;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-08;1492657;7837614,37;5;235449,27;14;18686,21;549;952,90;26287;24,79;430629;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-05;643381;3019254,88;0;0,00;7;14293,54;219;913,74;10651;23,43;168806;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-12-01;1496425;7874751,30;1;1253151,35;9;30942,07;490;1136,59;24192;28,76;369652;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-28;644030;3019762,57;2;235325,32;17;6150,24;193;1083,79;9811;26,65;150605;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-24;1501104;7903368,63;3;402579,08;14;19169,61;597;899,11;27440;24,42;415749;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-21;761988;3760813,49;1;1021544,43;4;32134,44;219;1173,78;12166;26,40;194488;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-17;1943009;11533535,78;2;1239467,62;10;40220,72;678;1186,42;33967;29,50;564171;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-14;645887;3032111,14;0;0,00;13;7573,15;243;810,36;10718;22,93;177666;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-10;1518173;7981365,84;1;1148912,12;14;18235,05;676;755,33;32178;19,83;483309;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-07;646617;3043548,94;1;433838,46;3;32134,44;317;608,08;13516;17,72;188135;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-11-03;1461556;7698488,59;5;223104,17;19;13046,64;789;628,41;31467;19,58;459540;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-31;766552;3763586,92;1;1031584,11;1;129940,83;175;1484,88;10584;30,61;189385;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-27;1471140;7741776,75;6;181383,69;30;8061,50;870;555,78;35006;17,23;492166;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-24;636037;2989689,61;0;0,00;10;9928,14;188;1056,27;10308;24,05;166261;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-20;1488462;7835448,77;2;612073,90;21;12952,44;423;1286,07;45417;14,87;388199;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-17;646217;3037554,38;1;473997,21;4;26333,73;170;1239,22;8304;31,61;150982;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-13;1505272;7921076,65;3;405479,44;2;135163,94;470;1150,23;24833;27,14;411311;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-10;839026;4323072,69;5;320204,07;23;6279,14;357;809,12;16182;22,31;236922;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-06;1949217;11513142,08;7;354140,69;34;10513,16;937;763,02;49414;17,97;740687;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-10-03;751577;3667252,52;0;0,00;5;24221,68;220;1100,90;13292;22,68;206740;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-29;1484045;7805610,33;2;611057,54;19;14293,54;413;1315,08;22769;29,75;384340;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-26;627843;2938989,93;0;0,00;9;10024,81;283;637,58;13167;17,10;193196;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-22;1480551;7771973,65;1;1265422,08;13;21631,19;326;1725,09;19089;36,81;339157;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-19;635771;2978402,03;2;228880,09;8;12714,46;226;900,10;10117;25,04;154321;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-15;1495514;7869521,24;3;405603,39;13;20800,75;417;1296,73;22309;30,24;401177;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-12;647652;3038513,23;1;487309,09;2;54144,90;154;1406,30;7952;33,96;139236;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-08;2007855;11989329,18;4;911504,49;36;10552,83;1168;650,47;51515;18,34;740436;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-05;657751;3099581,80;1;466287,72;6;17268,26;209;991,57;10362;24,91;169659;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-09-01;1491153;7832788,88;0;0,00;10;25937,10;667;777,64;28367;22,81;438777;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-29;754046;3713157,44;2;496828,20;12;9774,44;436;537,93;16185;18,10;230736;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-25;1424713;7485076,07;3;364477,85;9;26998,08;804;604,36;31573;19,21;438933;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-22;633288;2970608,26;0;0,00;6;17248,43;154;1344,08;8588;30,12;145702;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-18;1446375;7577220,57;1;1231212,77;7;39085,37;337;1623,70;18624;36,69;332897;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-15;622937;2928397,94;2;217452,20;3;32216,24;281;687,90;10729;22,43;165308;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-11;1469104;7706146,52;1;1167033,14;12;21611,36;606;855,73;26472;24,42;414880;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-08;850999;4380771,40;2;828807,21;8;18743,23;384;780,86;15425;24,29;225643;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-04;1474755;7770562,15;2;608801,71;5;54117,64;445;1215,92;23700;28,51;381725;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-08-01;728370;3562471,40;0;0,00;3;38973,82;257;909,77;13427;21,69;203746;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-28;1432442;7548773,79;1;1189888,92;14;18887,01;501;1055,53;22363;29,50;364547;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-25;633305;2967881,43;0;0,00;1;101475,21;166;1222,36;9139;27,64;153351;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-21;1311952;6873640,24;2;492316,54;20;10939,54;543;805,90;27555;19,83;420553;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-18;664286;3126159,96;2;238151,31;9;11760,07;238;889,44;11915;22,19;165693;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-14;2398649;14599471,49;2;2478935,25;17;28978,75;959;1027,27;49097;25,04;780573;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-11;659723;3095768,21;1;464056,68;3;34372,92;192;1074,12;10937;23,55;170943;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-07;1548654;8199287,55;3;392341,08;15;17436,83;755;692,86;33337;19,58;499414;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-07-04;636352;2990698,04;1;441721,47;3;32719,47;185;1060,98;10799;22,68;171050;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-30;1481159;7816370,39;3;424145,82;11;25704,08;356;1588,50;18825;37,43;341265;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-27;641195;3016234,55;1;464106,26;4;25783,41;186;1108,83;10779;23,80;155822;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-23;1497792;7899829,20;6;197645,51;17;15503,26;506;1041,65;26331;24,91;434596;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-20;659141;3102383,50;2;235821,11;8;13101,17;208;1007,69;10366;25,16;165394;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-16;1548885;8218018,39;1;1282501,94;5;57000,64;412;1383,49;23275;30,49;408407;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-13;786611;3897630,39;2;529227,89;8;16705,54;211;1266,74;12175;27,39;199811;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-09;1990078;11712706,77;5;495787,05;43;8934,08;968;793,76;45296;21,19;670559;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-06;656878;3084640,27;0;0,00;10;10151,24;258;787,06;11190;22,68;175144;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-06-02;1533650;8089365,12;3;389093,68;14;18527,56;722;718,40;31143;20,82;487317;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-30;646662;3039362,02;1;471394,33;2;52377,42;211;992,81;10069;25,90;153675;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-26;1456248;7677776,59;3;406768,48;16;14469,55;513;1057,27;28992;23,30;361713;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-23;782266;3853147,88;1;1005381,77;17;7161,64;389;625,93;16897;17,97;239297;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-19;1535328;8091805,88;10;127566,01;21;13497,80;611;927,87;25495;27,76;390573;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-16;657934;3084041,36;0;0,00;8;12704,54;297;684,43;11791;21,44;174695;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-12;1908019;11196805,64;1;2478935,25;7;57845,95;523;1548,34;28429;35,57;489374;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-09;655890;3068321,93;2;212296,01;12;7863,18;271;696,33;14276;16,48;201096;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-05;1544158;8115362,71;1;1261554,94;9;31147,82;491;1141,80;24854;28,14;407734;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-05-02;632655;2958202,18;1;445043,25;8;12362,45;209;946,21;10302;23,92;161896;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-28;1549209;8151876,93;14;78904,51;44;5577,60;1785;274,91;43696;14,01;555284;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-25;667086;3129801,51;3;140035,05;39;2392,17;441;423,40;16965;13,76;216765;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-21;1568139;8242026,38;2;631930,17;19;14781,89;444;1265,00;26744;26,15;429671;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-18;672306;3178087,20;6;74566,37;8;12429,38;374;531,73;14715;16,86;201429;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-14;2342433;13988546,33;5;991574,10;42;10770,97;1252;722,61;54876;20,58;826971;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-11;781147;3826424,95;2;531756,40;9;14538,96;248;1055,28;12179;26,77;197544;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-07;1558492;8179575,56;1;1312472,27;9;32404,64;424;1375,56;20885;34,83;374265;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-04-04;681027;3217833,46;0;0,00;9;11717,93;183;1152,70;11508;22,81;184617;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-31;1558321;8189466,01;8;147025,65;11;23765,55;704;742,44;32442;20,08;498126;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-28;818102;4063781,02;2;555603,76;13;10555,31;332;826,48;14231;24,05;216919;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-24;1573027;8245210,33;5;252132,50;15;18676,30;637;879,53;28187;24,79;433054;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-21;692108;3270906,47;0;0,00;6;18284,63;191;1148,74;10790;25,41;177561;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-17;1582135;8316083,08;1;1323577,90;10;29412,57;381;1543,88;21685;33,84;390191;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-14;914936;4773339,05;2;921965,60;7;22892,97;354;905,31;16754;23,80;258510;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-10;1936406;11158169,46;4;619733,81;20;18401,14;833;883,49;40620;22,56;630783;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-07;840260;4166629,57;0;0,00;4;35458,69;271;1046,61;13367;26,52;217808;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-03-03;1847783;10177231,48;3;921296,28;16;20238,03;937;691,13;41429;19,46;623254;2,48;0;0,00;0;0,00;0;0,00;0;0,00
2001-02-28;683641;3202229,06;0;0,00;4;26913,80;184;1170,06;10639;25,29;172822;2,48;0;0,00;0;0,00;0;0,00;0;0,00
